OptionSetName;OptionSetUID;OptionSetCode;OptionName;OptionUID;OptionCode
MPHD - Facility Monthly (Terms);;;CH+Nut.1 Number of children under five reached with direct food assistance of fortified/specialized food products;;TAB1Text_11
MPHD - Facility Monthly (Terms);;;G5/CH+Nut.1 Number of children under five reached with nutrition programs;;TAB1Title_5
MPHD - Facility Monthly (Terms);;;CH+Nut.1 Multiple Micronutrient Powder (MNP) supplementation;;TAB1Text_12
MPHD - Facility Monthly (Terms);;;CH+Nut.1 Social and behavior change (SBC);;TAB1Text_13
MPHD - Facility Monthly (Terms);;;CH+Nut.1 Vitamin A supplementation in the past 6 months;;TAB1Text_14
MPHD - Facility Monthly (Terms);;;CH+Nut.1 Zinc supplementation during episodes of diarrhea;;TAB1Text_15
MPHD - Facility Monthly (Terms);;;Ch+Nut.2 Number of children 6-59m seen;;TAB1Title_6
MPHD - Facility Monthly (Terms);;;CH+Nut.2 Number of children seen (well child or sick child visits;;TAB1Text_16
MPHD - Facility Monthly (Terms);;;Ch+Nut.2/3 Malnutrition;;TAB1Title_7
MPHD - Facility Monthly (Terms);;;CH+Nut.2 Number of children screened for acute malnutrition?(through MUAC or Height & Weight);;TAB1Text_17
MPHD - Facility Monthly (Terms);;;CH+Nut.3 Number of children with Moderate Acute Malnutrition (MAM);;TAB1Text_18
MPHD - Facility Monthly (Terms);;;CH+Nut.3 Number of children with Severe Acute Malnutrition (MAM);;TAB1Text_19
MPHD - Facility Monthly (Terms);;;FP.RH.2 Number of family planning client visits;;TAB2Title_1
MPHD - Facility Monthly (Terms);;;FP.RH.2 Number of family planning client visits (new acceptors and continuing clients);;TAB2Text_1
MPHD - Facility Monthly (Terms);;;FP.RH.3 Women who deliver and initiate or leave with a voluntary modern contraceptive method;;TAB2Title_2
MPHD - Facility Monthly (Terms);;;FP.RH.3 condoms;;TAB2Text_2
MPHD - Facility Monthly (Terms);;;FP.RH.3 copper IUD;;TAB2Text_3
MPHD - Facility Monthly (Terms);;;FP.RH.3 implant;;TAB2Text_4
MPHD - Facility Monthly (Terms);;;FP.RH.3 LAM;;TAB2Text_5
MPHD - Facility Monthly (Terms);;;FP.RH.3 LNG-IUD;;TAB2Text_6
MPHD - Facility Monthly (Terms);;;FP.RH.3 tubal ligation;;TAB2Text_7
MPHD - Facility Monthly (Terms);;;FP.RH.3 POC;;TAB2Text_8
MPHD - Facility Monthly (Terms);;;FP.RH.3 not specified;;TAB2Text_9
MPHD - Facility Monthly (Terms);;;FP.RH.4 Number of women who receive post abortion care services;;TAB2Title_3
MPHD - Facility Monthly (Terms);;;FP.RH.4 Number of women;;TAB2Text_10
MPHD - Facility Monthly (Terms);;;FP.RH.3 Number of women who receive post-abortion care services and initiate or leave with a voluntary modern contraceptiveTAB2Title_4;;TAB2Title_4
MPHD - Facility Monthly (Terms);;;FP.RH.4 condoms;;TAB2Text_11
MPHD - Facility Monthly (Terms);;;FP.RH.4 copper UID;;TAB2Text_12
MPHD - Facility Monthly (Terms);;;FP.RH.4 implant;;TAB2Text_13
MPHD - Facility Monthly (Terms);;;FP.RH.4 LNG-IUD;;TAB2Text_14
MPHD - Facility Monthly (Terms);;;FP.RH.4 pills;;TAB2Text_15
MPHD - Facility Monthly (Terms);;;FP.RH.4 tubal ligation;;TAB2Text_16
MPHD - Facility Monthly (Terms);;;FP.RH.4 not specified;;TAB2Text_17
MPHD - Facility Monthly (Terms);;;Imm.1 DPT;;TAB3Title_1
MPHD - Facility Monthly (Terms);;;Imm.1 Number of children receiving DPT1;;TAB3Text_1
MPHD - Facility Monthly (Terms);;;Imm.1 tNumber of children receiving DPT3;;TAB3Text_2
MPHD - Facility Monthly (Terms);;;Imm.3-4 Measles;;TAB3Title_2
MPHD - Facility Monthly (Terms);;;Imm.3 Number of children receiving first dose of the measles vaccine;;TAB3Text_3
MPHD - Facility Monthly (Terms);;;Imm.4 Number of children receiving second dose of the measles vaccine;;TAB3Text_4
MPHD - Facility Monthly (Terms);;;CH.1 Maternal Health;;TAB4Title_1
MPHD - Facility Monthly (Terms);;;MN CH.1 Number of infants 0-59 days of age provided with first dose of antibiotics for treatment of PSBI in outpatient settings;;TAB4Text_1
MPHD - Facility Monthly (Terms);;;MNH.10 Number of newborns who die before discharge from facility due to;;TAB4Title_2
MPHD - Facility Monthly (Terms);;;MNH.10 Acute intrapartum event;;TAB4Text_2
MPHD - Facility Monthly (Terms);;;MNH.10 Birth trauma;;TAB4Text_3
MPHD - Facility Monthly (Terms);;;MNH.10 Congenital malformation and chromosomal abnormalities;;TAB4Text_4
MPHD - Facility Monthly (Terms);;;MNH.10 Infection;;TAB4Text_5
MPHD - Facility Monthly (Terms);;;MNH.10 Low birthweight and prematurity;;TAB4Text_6
MPHD - Facility Monthly (Terms);;;MNH.10 Miscellaneous;;TAB4Text_7
MPHD - Facility Monthly (Terms);;;MNH.10 Neonatal death of unspecified cause;;TAB4Text_8
MPHD - Facility Monthly (Terms);;;MNH.10 Other neonatal conditions;;TAB4Text_9
MPHD - Facility Monthly (Terms);;;MNH.10 Respiratory or cardiovascular disorders;;TAB4Text_10
MPHD - Facility Monthly (Terms);;;MNH.11 Number of newborns;;TAB4Title_3
MPHD - Facility Monthly (Terms);;;Antepartum;;TAB4Text_11
MPHD - Facility Monthly (Terms);;;Intrapartum;;TAB4Text_12
MPHD - Facility Monthly (Terms);;;Unspecified (type of stillbirth);;TAB4Text_13
MPHD - Facility Monthly (Terms);;;MNH.12 Number of newborns;;TAB4Title_4
MPHD - Facility Monthly (Terms);;;Less than 2000gm delivered (live);;TAB4Text_14
MPHD - Facility Monthly (Terms);;;Less than 2000gm initiated in KMC;;TAB4Text_15
MPHD - Facility Monthly (Terms);;;Greater than or equal 2000gm delivered (live);;TAB4Text_16
MPHD - Facility Monthly (Terms);;;Greater than or equal 2000gm initiated in KMC;;TAB4Text_17
MPHD - Facility Monthly (Terms);;;Unspecified delivered (live);;TAB4Text_18
MPHD - Facility Monthly (Terms);;;Unspecified initiated in KMC;;TAB4Text_19
MPHD - Facility Monthly (Terms);;;MNH.13/14 Number of newborns;;TAB4Title_5
MPHD - Facility Monthly (Terms);;;Breastfed within one hour of birth;;TAB4Text_20
MPHD - Facility Monthly (Terms);;;Who received postnatal care within two days of birth;;TAB4Text_21
MPHD - Facility Monthly (Terms);;;MNH.2/3 Number of antenatal clients;;TAB4Title_6
MPHD - Facility Monthly (Terms);;;MNH.2_Number of antenatal clients with 1st visit before 12 weeks of gestational age;;TAB4Text_22
MPHD - Facility Monthly (Terms);;;MNH.2_Number of antenatal clients with 1st visit;;TAB4Text_23
MPHD - Facility Monthly (Terms);;;MNH.3_Number of antenatal clients with blood pressure measured;;TAB4Text_24
MPHD - Facility Monthly (Terms);;;MNH.4 Number of pregnant women reached with nutrition-specific interventions;;TAB4Title_7
MPHD - Facility Monthly (Terms);;;Calcium supplementation;;TAB4Text_25
MPHD - Facility Monthly (Terms);;;Direct food assistance of fortified/specialized food products;;TAB4Text_26
MPHD - Facility Monthly (Terms);;;Estimated total number of women reached;;TAB4Text_27
MPHD - Facility Monthly (Terms);;;Individual or small group counseling on maternal and/or child nutrition;;TAB4Text_28
MPHD - Facility Monthly (Terms);;;Iron and folic acid (IFA) supplementation;;TAB4Text_29
MPHD - Facility Monthly (Terms);;;Multiple micronutrient supplementation;;TAB4Text_30
MPHD - Facility Monthly (Terms);;;MNH.5/6/7 Number of women giving birth;;TAB4Title_8
MPHD - Facility Monthly (Terms);;;MNH.5 Number of women giving birth/ number of deliveries;;TAB4Text_31
MPHD - Facility Monthly (Terms);;;MNH.6 Number of women who gave birth who received a prophylactic uterotonic;;TAB4Text_32
MPHD - Facility Monthly (Terms);;;MNH.7 Number of caesarean sections;;TAB4Text_33
MPHD - Facility Monthly (Terms);;;MNH.9 Number of maternal deaths due to:;;TAB4Title_9
MPHD - Facility Monthly (Terms);;;Hypertensive disorders in pregnancy, childbirth, and the puerperium;;TAB4Text_34
MPHD - Facility Monthly (Terms);;;Non-obstetric complications;;TAB4Text_35
MPHD - Facility Monthly (Terms);;;Obstetric hemorrhage;;TAB4Text_36
MPHD - Facility Monthly (Terms);;;Other obstetric complications;;TAB4Text_37
MPHD - Facility Monthly (Terms);;;Pregnancies with abortive outcome;;TAB4Text_38
MPHD - Facility Monthly (Terms);;;Pregnancy-related infection;;TAB4Text_39
MPHD - Facility Monthly (Terms);;;Unanticipated complications of management;;TAB4Text_40
MPHD - Facility Monthly (Terms);;;Unspecified;;TAB4Text_41
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
MPHD - Facility Monthly (Terms);;;;;
